Zip Code,Unemployment rate,% in poverty,vacant units,Median Home Value,Population Density Per Acre,Per Capita Income
94114,4.0,5.5,7.5,920606,38.8,92666
94112,8.7,10.0,3.3,645777,41.2,29017
94131,4.5,6.0,5.0,920190,18.4,68159
94117,4.0,7.0,7.5,941582,44.5,89902
94102,6.5,21.5,9.5,657425,85.2,44578
94122,5.0,9.5,4.5,869917,31.0,52782
94115,5.0,14.3,9.3,703234,51.4,73919
94121,6.3,6.7,12.3,833355,19.5,68719
94134,18.0,24.0,5.0,624937,24.8,18165
94103,6.0,20.5,10.5,774914,41.3,53699
94158,5.5,9.0,6.5,817139,19.6,77404
94109,4.0,11.5,11.5,747781,76.7,75239
94129,3.0,6.0,6.5,913846,17.9,87742
94116,4.0,6.0,5.0,927384,19.5,67869
94107,7.0,9.0,3.0,653611,31.1,29659
94133,7.0,16.0,12.0,806903,39.4,60254
94123,8.0,10.0,6.0,904561,48.7,50860
94132,16.0,28.0,5.0,681159,7.8,22570
94118,6.0,13.0,4.0,839002,47.2,56925
94104,5.0,9.0,20.0,681493,24.3,114083
94108,7.0,27.0,8.0,846774,103.1,24653
94124,12.0,19.0,6.0,566355,11.4,24817
94110,7.0,9.0,7.0,838307,37.9,53243
